Ano,Instituição,Conta,Valor,População,Variacao_Valor,Variacao_Populacao,Variacao_População,Valor_k,Populacao_k
2023,Prefeitura Municipal de Cabo Frio - RJ,ISS,12407294453.0,234077.0,20.17429735977949,0.0,,6,6
2024,Prefeitura Municipal de Cabo Frio - RJ,ISS,13840695751.843262,241389.66666666698,20.17429735977949,,0.0,6,6
2025,Prefeitura Municipal de Cabo Frio - RJ,ISS,15874834890.800293,245602.23809523787,20.17429735977949,,0.0,6,6
2017,Prefeitura Municipal de Cabo Frio - RJ,ITBI,1886094392.0,212289.0,320.78470970771684,1.8412000901890657,,6,6
2018,Prefeitura Municipal de Cabo Frio - RJ,ITBI,1307176712.0,212289.0,-30.69399296533193,0.0,,6,6
2019,Prefeitura Municipal de Cabo Frio - RJ,ITBI,411052122.0,222528.0,-68.55420401644976,4.823142037505468,,6,6
2020,Prefeitura Municipal de Cabo Frio - RJ,ITBI,383751098.0,226525.0,-6.641742625525238,1.7961784584411777,,6,6
2021,Prefeitura Municipal de Cabo Frio - RJ,ITBI,1553769408.0,230378.0,304.8898924583663,1.7009160136850277,,6,6
2022,Prefeitura Municipal de Cabo Frio - RJ,ITBI,2845420295.0,234077.0,83.13015305550411,1.6056220646068597,,6,6
2023,Prefeitura Municipal de Cabo Frio - RJ,ITBI,3745809416.0,234077.0,31.643449039221807,0.0,,6,6
2024,Prefeitura Municipal de Cabo Frio - RJ,ITBI,3187812946.800049,241389.66666666698,31.643449039221807,,0.0,6,6
2025,Prefeitura Municipal de Cabo Frio - RJ,ITBI,3565130262.7000732,245602.23809523787,31.643449039221807,,0.0,6,6
2017,Prefeitura Municipal de Ilhéus - BA,IPTU,2947115621.0,178210.0,-21.978742821795805,-1.1114625470970418,,6,6
2018,Prefeitura Municipal de Ilhéus - BA,IPTU,6216166579.0,178210.0,110.92374302202512,0.0,,6,6
2019,Prefeitura Municipal de Ilhéus - BA,IPTU,6192104242.0,164844.0,-0.3870928601123591,-7.5001402839346865,,6,6
2020,Prefeitura Municipal de Ilhéus - BA,IPTU,5919471516.0,162327.0,-4.402909178285119,-1.526898158258716,,6,6
2021,Prefeitura Municipal de Ilhéus - BA,IPTU,7980164062.0,159923.0,34.81210341886203,-1.4809612695361851,,6,6
2022,Prefeitura Municipal de Ilhéus - BA,IPTU,8617225584.0,157639.0,7.983062967759813,-1.4281873151454128,,6,6
2023,Prefeitura Municipal de Ilhéus - BA,IPTU,9178562502.0,157639.0,6.514125834680007,0.0,,6,6
2024,Prefeitura Municipal de Ilhéus - BA,IPTU,10279831818.814209,150267.7999999998,6.514125834680007,,0.0,6,6
2025,Prefeitura Municipal de Ilhéus - BA,IPTU,11173885910.77124,146439.09999999963,6.514125834680007,,0.0,6,6
2017,Prefeitura Municipal de Ilhéus - BA,ISS,7844204323.0,178210.0,-1.7396999337323638,-1.1114625470970418,,6,6
2018,Prefeitura Municipal de Ilhéus - BA,ISS,8297460860.0,178210.0,5.778234711084784,0.0,,6,6
2019,Prefeitura Municipal de Ilhéus - BA,ISS,7911007030.0,164844.0,-4.657495064098438,-7.5001402839346865,,6,6
2020,Prefeitura Municipal de Ilhéus - BA,ISS,8661111325.0,162327.0,9.481780159661923,-1.526898158258716,,6,6
2021,Prefeitura Municipal de Ilhéus - BA,ISS,9594198830.0,159923.0,10.773299984110295,-1.4809612695361851,,6,6
2022,Prefeitura Municipal de Ilhéus - BA,ISS,11895194033.0,157639.0,23.983192799851526,-1.4281873151454128,,6,6
2023,Prefeitura Municipal de Ilhéus - BA,ISS,14101292950.0,157639.0,18.546136455443897,0.0,,6,6
2024,Prefeitura Municipal de Ilhéus - BA,ISS,13610319608.299805,150267.7999999998,18.546136455443897,,0.0,6,6
2025,Prefeitura Municipal de Ilhéus - BA,ISS,14581575082.599854,146439.09999999963,18.546136455443897,,0.0,6,6
2017,Prefeitura Municipal de Ilhéus - BA,ITBI,1683417798.0,178210.0,8.247201498624413,-1.1114625470970418,,6,6
2018,Prefeitura Municipal de Ilhéus - BA,ITBI,2164530223.0,178210.0,28.579502104087883,0.0,,6,6
2019,Prefeitura Municipal de Ilhéus - BA,ITBI,1740168155.0,164844.0,-19.60527339793121,-7.5001402839346865,,6,6
2020,Prefeitura Municipal de Ilhéus - BA,ITBI,2528896182.0,162327.0,45.324816727266224,-1.526898158258716,,6,6
2021,Prefeitura Municipal de Ilhéus - BA,ITBI,4256999965.0,159923.0,68.33431104448557,-1.4809612695361851,,6,6
2022,Prefeitura Municipal de Ilhéus - BA,ITBI,3808530396.0,157639.0,-10.534873683044532,-1.4281873151454128,,6,6
2023,Prefeitura Municipal de Ilhéus - BA,ITBI,4232687187.0,157639.0,11.137019976143048,0.0,,6,6
2024,Prefeitura Municipal de Ilhéus - BA,ITBI,4879567515.185669,150267.7999999998,11.137019976143048,,0.0,6,6
2025,Prefeitura Municipal de Ilhéus - BA,ITBI,5366902345.228516,146439.09999999963,11.137019976143048,,0.0,6,6
2017,Prefeitura Municipal de Niterói - RJ,IPTU,11574142206.0,497883.0,-8.62565255036365,0.23897917438433502,,6,6
2018,Prefeitura Municipal de Niterói - RJ,IPTU,16371474656.0,497883.0,41.448708376099596,0.0,,6,6
2019,Prefeitura Municipal de Niterói - RJ,IPTU,12955778355.0,511786.0,-20.86370576121668,2.792423119487908,,6,6
2020,Prefeitura Municipal de Niterói - RJ,IPTU,63977780634.0,513584.0,393.8165726593275,0.3513187152442532,,6,6
2021,Prefeitura Municipal de Niterói - RJ,IPTU,16466954519.0,515317.0,-74.26144771541374,0.33743263030001636,,6,6
2022,Prefeitura Municipal de Niterói - RJ,IPTU,102947301930.0,516981.0,525.1751154788017,0.322908035248215,,6,6
2023,Prefeitura Municipal de Niterói - RJ,IPTU,21301729017.0,516981.0,-79.30812307107931,0.0,,6,6
2024,Prefeitura Municipal de Niterói - RJ,IPTU,63715004826.666016,524295.8714285707,-79.30812307107931,,0.0,6,6
2025,Prefeitura Municipal de Niterói - RJ,IPTU,70775433867.09375,527847.4571428569,-79.30812307107931,,0.0,6,6
2017,Prefeitura Municipal de Niterói - RJ,ISS,34655993018.0,497883.0,318.4564631998294,0.23897917438433502,,5,6
2018,Prefeitura Municipal de Niterói - RJ,ISS,31935184698.0,497883.0,-7.850902782058034,0.0,,5,6
2019,Prefeitura Municipal de Niterói - RJ,ISS,36219651134.0,511786.0,13.416131694608048,2.792423119487908,,5,6
2020,Prefeitura Municipal de Niterói - RJ,ISS,43050335998.0,513584.0,18.859057583765406,0.3513187152442532,,5,6
2021,Prefeitura Municipal de Niterói - RJ,ISS,37931927326.0,515317.0,-11.889358243888704,0.33743263030001636,,5,6
2022,Prefeitura Municipal de Niterói - RJ,ISS,16585421471.0,516981.0,-56.27582714566757,0.322908035248215,,5,6
2023,Prefeitura Municipal de Niterói - RJ,ISS,59475091628.0,516981.0,258.59861464475654,0.0,,5,6
2024,Prefeitura Municipal de Niterói - RJ,ISS,43872369881.98486,524295.8714285707,258.59861464475654,,0.0,5,6
2025,Prefeitura Municipal de Niterói - RJ,ISS,45555361011.831055,527847.4571428569,258.59861464475654,,0.0,5,6
2017,Prefeitura Municipal de Niterói - RJ,ITBI,9125476700.0,497883.0,138.8892196906348,0.23897917438433502,,6,6
2018,Prefeitura Municipal de Niterói - RJ,ITBI,7341386116.0,497883.0,-19.550656285167,0.0,,6,6
2019,Prefeitura Municipal de Niterói - RJ,ITBI,7181372676.0,511786.0,-2.179608012324308,2.792423119487908,,6,6
2020,Prefeitura Municipal de Niterói - RJ,ITBI,7114473694.0,513584.0,-0.9315625997739274,0.3513187152442532,,6,6
2021,Prefeitura Municipal de Niterói - RJ,ITBI,7614426870.0,515317.0,7.0272686006504825,0.33743263030001636,,6,6
2022,Prefeitura Municipal de Niterói - RJ,ITBI,9988512740.0,516981.0,31.178786145463366,0.322908035248215,,6,6
2023,Prefeitura Municipal de Niterói - RJ,ITBI,9907065636.0,516981.0,-0.815407720048622,0.0,,6,6
2024,Prefeitura Municipal de Niterói - RJ,ITBI,9396484826.142883,524295.8714285707,-0.815407720048622,,0.0,6,6
2025,Prefeitura Municipal de Niterói - RJ,ITBI,9644102128.0,527847.4571428569,-0.815407720048622,,0.0,6,6
2017,Prefeitura Municipal de Tamandaré - PE,IPTU,1442004941.0,22850.0,1.9433155058226514,1.1464742596609234,,6,5
2018,Prefeitura Municipal de Tamandaré - PE,IPTU,2803495942.0,22850.0,94.41652814697257,0.0,,6,5
2019,Prefeitura Municipal de Tamandaré - PE,IPTU,2492640324.0,23149.0,-11.088142249217492,1.3085339168490195,,6,5
2020,Prefeitura Municipal de Tamandaré - PE,IPTU,2280143625.0,23388.0,-8.52496435021164,1.032442006134171,,6,5
2021,Prefeitura Municipal de Tamandaré - PE,IPTU,2553149883.0,23623.0,11.973204451101193,1.0047887805712419,,6,5
2022,Prefeitura Municipal de Tamandaré - PE,IPTU,2949078530.0,23852.0,15.507458047655875,0.9693942344325412,,6,5
2023,Prefeitura Municipal de Tamandaré - PE,IPTU,3322104128.0,23852.0,12.648886565933527,0.0,,6,5
2024,Prefeitura Municipal de Tamandaré - PE,IPTU,3421660279.371399,24146.626865671657,12.648886565933527,,0.0,6,5
2025,Prefeitura Municipal de Tamandaré - PE,IPTU,3638445772.9570923,24341.6865671642,12.648886565933527,,0.0,6,5
2017,Prefeitura Municipal de Tamandaré - PE,ISS,578848392.0,22850.0,6.888819545404257,1.1464742596609234,,6,5
2018,Prefeitura Municipal de Tamandaré - PE,ISS,586788736.0,22850.0,1.3717484767583166,0.0,,6,5
2019,Prefeitura Municipal de Tamandaré - PE,ISS,646856892.0,23149.0,10.236760236651854,1.3085339168490195,,6,5
2020,Prefeitura Municipal de Tamandaré - PE,ISS,587626372.0,23388.0,-9.156665211816284,1.032442006134171,,6,5
2021,Prefeitura Municipal de Tamandaré - PE,ISS,829304837.0,23623.0,41.12791333333827,1.0047887805712419,,6,5
2022,Prefeitura Municipal de Tamandaré - PE,ISS,982165334.0,23852.0,18.432365299227115,0.9693942344325412,,6,5
2023,Prefeitura Municipal de Tamandaré - PE,ISS,1209627112.0,23852.0,23.159214658252235,0.0,,6,5
2024,Prefeitura Municipal de Tamandaré - PE,ISS,1182007481.214264,24146.626865671657,23.159214658252235,,0.0,6,5
2025,Prefeitura Municipal de Tamandaré - PE,ISS,1284045656.0714111,24341.6865671642,23.159214658252235,,0.0,6,5
2017,Prefeitura Municipal de Tamandaré - PE,ITBI,403282050.0,22850.0,-4.089623995090164,1.1464742596609234,,6,5
2018,Prefeitura Municipal de Tamandaré - PE,ITBI,525866664.0,22850.0,30.396744412502375,0.0,,6,5
2019,Prefeitura Municipal de Tamandaré - PE,ITBI,558442773.0,23149.0,6.194746925429762,1.3085339168490195,,6,5
2020,Prefeitura Municipal de Tamandaré - PE,ITBI,997236453.0,23388.0,78.57451134030524,1.032442006134171,,6,5
2021,Prefeitura Municipal de Tamandaré - PE,ITBI,1475804760.0,23623.0,47.989451805568926,1.0047887805712419,,6,5
2022,Prefeitura Municipal de Tamandaré - PE,ITBI,2465022010.0,23852.0,67.02900524592425,0.9693942344325412,,6,5
2023,Prefeitura Municipal de Tamandaré - PE,ITBI,2644159089.0,23852.0,7.267159411692226,0.0,,6,5
2024,Prefeitura Municipal de Tamandaré - PE,ITBI,2951742649.199951,24146.626865671657,7.267159411692226,,0.0,6,5
2025,Prefeitura Municipal de Tamandaré - PE,ITBI,3368402138.2999268,24341.6865671642,7.267159411692226,,0.0,6,5
